,Details
746,"Mieszkanie, Poznań, Rataje, 57 m²Stan: Innyzakończona1 December 2024 o godzinie 07:03:28590 000,00złZobacz aktualne oferty"
747,"Dom, Poznań, Grunwald, 251 m²Stan: Innyzakończona1 December 2024 o godzinie 07:02:161 190 000,00złZobacz aktualne oferty"
748,"Mieszkanie, Poznań, Rataje, 64 m²Stan: Innyzakończona1 December 2024 o godzinie 07:02:142800,00złZobacz aktualne oferty"
749,"Dom, Poznań, 92 m²Stan: Innyzakończona1 December 2024 o godzinie 07:02:14785 000,00złZobacz aktualne oferty"
750,"Biurowiec, Poznań, Winogrady, 70 m²Stan: Innyzakończona1 December 2024 o godzinie 07:02:134900,00złZobacz aktualne oferty"
751,"Mieszkanie, Poznań, Grunwald, 104 m²Stan: Innyzakończona1 December 2024 o godzinie 07:02:12980 000,00złZobacz aktualne oferty"
752,"Mieszkanie, Poznań, Strzeszyn, 117 m²Stan: Innyzakończona1 December 2024 o godzinie 07:02:111 170 900,00złZobacz aktualne oferty"
753,"Mieszkanie, Poznań, 92 m²Stan: Innyzakończona1 December 2024 o godzinie 07:02:10785 000,00złZobacz aktualne oferty"
754,"Mieszkanie, Poznań, Grunwald, 44 m²Stan: Innyzakończona1 December 2024 o godzinie 07:02:07519 000,00złZobacz aktualne oferty"
755,"Dom, Poznań, 413 m²Stan: Innyzakończona1 December 2024 o godzinie 07:02:061 370 000,00złZobacz aktualne oferty"
756,"Mieszkanie, Poznań, Grunwald, 114 m²Stan: Innyzakończona1 December 2024 o godzinie 07:01:03780 000,00złZobacz aktualne oferty"
757,"Mieszkanie, Poznań, Łazarz, 40 m²Stan: Innyzakończona1 December 2024 o godzinie 06:22:41569 081,00złZobacz aktualne oferty"
758,"Dom, Poznań, 134 m²Stan: Innyzakończona1 December 2024 o godzinie 06:22:41775 000,00złZobacz aktualne oferty"
759,"Mieszkanie, Poznań, 73 m²Stan: Innyzakończona1 December 2024 o godzinie 06:02:04781 000,00złZobacz aktualne oferty"
760,"Mieszkanie, Poznań, Podolany, 56 m²Stan: Innyzakończona1 December 2024 o godzinie 06:01:52749 000,00złZobacz aktualne oferty"
761,"Mieszkanie, Poznań, 42 m²Stan: Innyzakończona1 December 2024 o godzinie 06:01:51563 595,00złZobacz aktualne oferty"
762,"Mieszkanie, Poznań, 48 m²Stan: Innyzakończona1 December 2024 o godzinie 06:01:51627 816,00złZobacz aktualne oferty"
763,"Działka, Poznań, Morasko-Radojewo, 1344 m²Stan: Innyzakończona1 December 2024 o godzinie 06:01:44699 000,00złZobacz aktualne oferty"
764,"Mieszkanie, Poznań, 60 m²Stan: Innyzakończona1 December 2024 o godzinie 06:01:42704 586,00złZobacz aktualne oferty"
765,"Mieszkanie, Poznań, 88 m²Stan: Innyzakończona1 December 2024 o godzinie 06:01:421 042 444,00złZobacz aktualne oferty"
766,"Mieszkanie, Poznań, Łazarz, 70 m²Stan: Innyzakończona1 December 2024 o godzinie 06:01:42831 799,00złZobacz aktualne oferty"
767,"Mieszkanie, Poznań, Łazarz, 53 m²Stan: Innyzakończona1 December 2024 o godzinie 06:01:41724 073,00złZobacz aktualne oferty"
768,"Mieszkanie, Poznań, Łazarz, 40 m²Stan: Innyzakończona1 December 2024 o godzinie 06:01:41561 744,00złZobacz aktualne oferty"
769,"Mieszkanie, Poznań, Łazarz, 37 m²Stan: Innyzakończona1 December 2024 o godzinie 06:01:41512 670,00złZobacz aktualne oferty"
770,"Mieszkanie, Poznań, Stare Miasto, 52 m²Stan: Innyzakończona1 December 2024 o godzinie 06:01:403800,00złZobacz aktualne oferty"
771,"Mieszkanie, Poznań, Podolany, 46 m²Stan: Innyzakończona1 December 2024 o godzinie 06:01:372100,00złZobacz aktualne oferty"
772,"Mieszkanie, Poznań, Wilda, 175 m²Stan: Innyzakończona1 December 2024 o godzinie 06:01:31480 000,00złZobacz aktualne oferty"
773,"Mieszkanie, Poznań, Grunwald, 54 m²Stan: Innyzakończona30 November 2024 o godzinie 20:44:17539 000,00złZobacz aktualne oferty"
774,"Mieszkanie, Poznań, Winiary, 38 m²Stan: Innyzakończona30 November 2024 o godzinie 19:39:51449 000,00złZobacz aktualne oferty"
775,"Mieszkanie, Poznań, Piątkowo, 55 m²Stan: Innyzakończona30 November 2024 o godzinie 18:32:59695 000,00złZobacz aktualne oferty"
776,"Mieszkanie, Poznań, Wilda, 73 m²Stan: Innyzakończona30 November 2024 o godzinie 18:32:58869 000,00złZobacz aktualne oferty"
777,"Działka, Poznań, 300 m²Stan: Innyzakończona30 November 2024 o godzinie 18:00:1373 000,00złZobacz aktualne oferty"
778,"Mieszkanie, Poznań, Rataje, 38 m²Stan: Innyzakończona30 November 2024 o godzinie 18:00:10479 999,00złZobacz aktualne oferty"
779,"Działka, Poznań, 10000 m²Stan: Innyzakończona30 November 2024 o godzinie 18:00:073 450 000,00złZobacz aktualne oferty"
780,"Mieszkanie, Poznań, Łazarz, 29 m²Stan: Innyzakończona30 November 2024 o godzinie 15:22:471700,00złZobacz aktualne oferty"
781,"Mieszkanie, Poznań, Junikowo, 55 m²Stan: Innyzakończona30 November 2024 o godzinie 13:48:37695 820,00złZobacz aktualne oferty"
782,"Mieszkanie, Poznań, Strzeszyn, 68 m²Stan: Innyzakończona30 November 2024 o godzinie 12:43:205900,00złZobacz aktualne oferty"
783,"Mieszkanie, Poznań, Rataje, 65 m²Stan: Innyzakończona30 November 2024 o godzinie 11:11:002700,00złZobacz aktualne oferty"
784,"Mieszkanie, Poznań, Centrum, 49 m²Stan: Innyzakończona30 November 2024 o godzinie 11:11:003750,00złZobacz aktualne oferty"
785,"Mieszkanie, Poznań, Nowe Miasto, 44 m²Stan: Innyzakończona30 November 2024 o godzinie 11:10:532500,00złZobacz aktualne oferty"
786,"Mieszkanie, Poznań, Grunwald, 50 m²Stan: Innyzakończona30 November 2024 o godzinie 00:27:06669 541,00złZobacz aktualne oferty"
787,"Mieszkanie, Poznań, Dębiec, 35 m²Stan: Innyzakończona30 November 2024 o godzinie 00:07:072600,00złZobacz aktualne oferty"
788,"Dom, Poznań, 265 m²Stan: Innyzakończona30 November 2024 o godzinie 00:06:582 600 000,00złZobacz aktualne oferty"
789,"Mieszkanie, Poznań, Chartowo, 33 m²Stan: Innyzakończona30 November 2024 o godzinie 00:06:571300,00złZobacz aktualne oferty"
790,"Mieszkanie, Poznań, Dębiec, 44 m²Stan: Innyzakończona29 November 2024 o godzinie 23:26:10395 000,00złZobacz aktualne oferty"
791,"Mieszkanie, Poznań, Jeżyce, 77 m²Stan: Innyzakończona29 November 2024 o godzinie 21:53:37939 109,00złZobacz aktualne oferty"
792,"Mieszkanie, Poznań, Jeżyce, 61 m²Stan: Innyzakończona29 November 2024 o godzinie 21:53:36724 264,00złZobacz aktualne oferty"
793,"Mieszkanie, Poznań, Grunwald, 25 m²Stan: Innyzakończona29 November 2024 o godzinie 21:53:36395 955,00złZobacz aktualne oferty"
794,"Mieszkanie, Poznań, Jeżyce, 48 m²Stan: Innyzakończona29 November 2024 o godzinie 21:53:36561 114,00złZobacz aktualne oferty"
795,"Mieszkanie, Poznań, Jeżyce, 49 m²Stan: Innyzakończona29 November 2024 o godzinie 21:53:36581 909,00złZobacz aktualne oferty"
796,"Mieszkanie, Poznań, Jeżyce, 46 m²Stan: Innyzakończona29 November 2024 o godzinie 21:53:35596 808,00złZobacz aktualne oferty"
797,"Mieszkanie, Poznań, Nowe Miasto, 75 m²Stan: Innyzakończona29 November 2024 o godzinie 19:31:02694 232,00złZobacz aktualne oferty"
798,"Mieszkanie, Poznań, Centrum, 36 m²Stan: Innyzakończona29 November 2024 o godzinie 16:57:161900,00złZobacz aktualne oferty"
799,"Mieszkanie, Poznań, Głuszyna, 32 m²Stan: Innyzakończona29 November 2024 o godzinie 16:57:14324 900,00złZobacz aktualne oferty"
800,"Dom, Poznań, Podolany, 270 m²Stan: Innyzakończona29 November 2024 o godzinie 16:03:161 035 000,00złZobacz aktualne oferty"
801,"Mieszkanie, Poznań, Centrum, 126 m²Stan: Innyzakończona29 November 2024 o godzinie 15:48:51999 000,00złZobacz aktualne oferty"
802,"Mieszkanie, Poznań, Centrum, 81 m²Stan: Innyzakończona29 November 2024 o godzinie 15:48:51690 000,00złZobacz aktualne oferty"
803,"Mieszkanie, Poznań, Łazarz, 70 m²Stan: Innyzakończona29 November 2024 o godzinie 15:14:14639 000,00złZobacz aktualne oferty"
804,"Mieszkanie, Poznań, Jeżyce, 70 m²Stan: Innyzakończona29 November 2024 o godzinie 15:11:18639 000,00złZobacz aktualne oferty"
805,"Działka, Poznań, Strzeszyn, 815 m²Stan: Innyzakończona29 November 2024 o godzinie 14:57:35730 000,00złZobacz aktualne oferty"
806,"Mieszkanie, Poznań, Grunwald, 53 m²Stan: Innyzakończona29 November 2024 o godzinie 14:42:32534 000,00złZobacz aktualne oferty"
807,"Mieszkanie, Poznań, Grunwald, 40 m²Stan: Innyzakończona29 November 2024 o godzinie 14:25:48365 000,00złZobacz aktualne oferty"
808,"Mieszkanie, Poznań, Jeżyce, 59 m²Stan: Innyzakończona29 November 2024 o godzinie 13:16:34649 000,00złZobacz aktualne oferty"
809,"Mieszkanie, Poznań, Stare Miasto, 114 m²Stan: Innyzakończona29 November 2024 o godzinie 11:02:29950 000,00złZobacz aktualne oferty"
810,"Mieszkanie, Poznań, Łazarz, 42 m²Stan: Innyzakończona29 November 2024 o godzinie 10:32:42522 875,00złZobacz aktualne oferty"
811,"Mieszkanie, Poznań, Łazarz, 82 m²Stan: Innyzakończona29 November 2024 o godzinie 10:32:36699 000,00złZobacz aktualne oferty"
812,"Mieszkanie, Poznań, 72 m²Stan: Innyzakończona29 November 2024 o godzinie 07:56:10770 000,00złZobacz aktualne oferty"
813,"Dom, Poznań, Umultowo, 86 m²Stan: Innyzakończona29 November 2024 o godzinie 00:39:15779 000,00złZobacz aktualne oferty"
814,"Mieszkanie, Poznań, 73 m²Stan: Innyzakończona29 November 2024 o godzinie 00:38:40580 000,00złZobacz aktualne oferty"
815,"Dom, Poznań, Dębiec, 630 m²Stan: Innyzakończona29 November 2024 o godzinie 00:32:161 490 000,00złZobacz aktualne oferty"
816,"Mieszkanie, Poznań, Rataje, 57 m²Stan: Innyzakończona29 November 2024 o godzinie 00:12:01552 945,00złZobacz aktualne oferty"
817,"Lokal handlowy, Poznań, Jeżyce, 763 m²Stan: Innyzakończona29 November 2024 o godzinie 00:12:015 500 000,00złZobacz aktualne oferty"
818,"Mieszkanie, Poznań, Centrum, 47 m²Stan: Innyzakończona29 November 2024 o godzinie 00:11:54830 000,00złZobacz aktualne oferty"
819,"Dom, Poznań, Piątkowo, 190 m²Stan: Innyzakończona29 November 2024 o godzinie 00:11:511 380 000,00złZobacz aktualne oferty"
820,"Dom, Poznań, Ławica, 230 m²Stan: Innyzakończona29 November 2024 o godzinie 00:11:381 600 000,00złZobacz aktualne oferty"
821,"Magazyny i hale, Poznań, 617 m²Stan: Innyzakończona29 November 2024 o godzinie 00:11:2318 000,00złZobacz aktualne oferty"
822,"Mieszkanie, Poznań, Grunwald, 37 m²Stan: Innyzakończona29 November 2024 o godzinie 00:09:11499 900,00złZobacz aktualne oferty"
823,"Mieszkanie, Poznań, Grunwald, 54 m²Stan: Innyzakończona29 November 2024 o godzinie 00:09:00669 000,00złZobacz aktualne oferty"
824,"Mieszkanie, Poznań, Wilda, 13 m²Stan: Innyzakończona28 November 2024 o godzinie 18:37:251600,00złZobacz aktualne oferty"
825,"Mieszkanie, Poznań, Centrum, 36 m²Stan: Innyzakończona28 November 2024 o godzinie 17:35:44420 000,00złZobacz aktualne oferty"
826,"Mieszkanie, Poznań, 46 m²Stan: Innyzakończona28 November 2024 o godzinie 16:13:26530 000,00złZobacz aktualne oferty"
827,"Mieszkanie, Poznań, Naramowice, 51 m²Stan: Innyzakończona28 November 2024 o godzinie 16:13:26669 000,00złZobacz aktualne oferty"
828,"Dom, Poznań, Naramowice, 150 m²Stan: Innyzakończona28 November 2024 o godzinie 16:13:20899 000,00złZobacz aktualne oferty"
829,"Mieszkanie, Poznań, 69 m²Stan: Innyzakończona28 November 2024 o godzinie 15:59:16517 500,00złZobacz aktualne oferty"
830,"Mieszkanie, Poznań, Łazarz, 32 m²Stan: Innyzakończona28 November 2024 o godzinie 15:59:152000,00złZobacz aktualne oferty"
831,"Mieszkanie, Poznań, 73 m²Stan: Innyzakończona28 November 2024 o godzinie 15:43:55659 000,00złZobacz aktualne oferty"
832,"Mieszkanie, Poznań, Jeżyce, 77 m²Stan: Innyzakończona28 November 2024 o godzinie 15:27:49480 000,00złZobacz aktualne oferty"
833,"Mieszkanie, Poznań, Nowe Miasto, 35 m²Stan: Innyzakończona28 November 2024 o godzinie 14:58:362000,00złZobacz aktualne oferty"
834,"Mieszkanie, Poznań, Centrum, 47 m²Stan: Innyzakończona28 November 2024 o godzinie 10:52:16839 000,00złZobacz aktualne oferty"
835,"Mieszkanie, Poznań, Naramowice, 33 m²Stan: Innyzakończona28 November 2024 o godzinie 09:23:41410 000,00złZobacz aktualne oferty"
836,"Mieszkanie, Poznań, Grunwald, 57 m²Stan: Innyzakończona28 November 2024 o godzinie 02:44:513700,00złZobacz aktualne oferty"
837,"Mieszkanie, Poznań, Sołacz, 26 m²Stan: Innyzakończona28 November 2024 o godzinie 02:44:50380 000,00złZobacz aktualne oferty"
838,"Mieszkanie, Poznań, Sołacz, 105 m²Stan: Innyzakończona28 November 2024 o godzinie 02:44:50915 000,00złZobacz aktualne oferty"
839,"Mieszkanie, Poznań, Sołacz, 47 m²Stan: Innyzakończona28 November 2024 o godzinie 02:44:50514 000,00złZobacz aktualne oferty"
840,"Dom, Poznań, 122 m²Stan: Innyzakończona28 November 2024 o godzinie 00:06:496500,00złZobacz aktualne oferty"
841,"Mieszkanie, Poznań, Stare Miasto, 46 m²Stan: Innyzakończona28 November 2024 o godzinie 00:06:06909 629,00złZobacz aktualne oferty"
842,"Mieszkanie, Poznań, Wilda, 46 m²Stan: Innyzakończona28 November 2024 o godzinie 00:06:04630 000,00złZobacz aktualne oferty"
843,"Działka, Poznań, 2579 m²Stan: Innyzakończona28 November 2024 o godzinie 00:05:561 300 000,00złZobacz aktualne oferty"
844,"Mieszkanie, Poznań, Jeżyce, 30 m²Stan: Innyzakończona28 November 2024 o godzinie 00:05:48399 999,00złZobacz aktualne oferty"
845,"Mieszkanie, Poznań, Jeżyce, 52 m²Stan: Innyzakończona28 November 2024 o godzinie 00:05:48549 999,00złZobacz aktualne oferty"
846,"Mieszkanie, Poznań, Jeżyce, 50 m²Stan: Innyzakończona28 November 2024 o godzinie 00:05:48529 999,00złZobacz aktualne oferty"
847,"Mieszkanie, Poznań, Nowe Miasto, 65 m²Stan: Innyzakończona28 November 2024 o godzinie 00:05:48619 000,00złZobacz aktualne oferty"
848,"Mieszkanie, Poznań, Rataje, 43 m²Stan: Innyzakończona28 November 2024 o godzinie 00:05:48449 999,00złZobacz aktualne oferty"
849,"Mieszkanie, Poznań, Rataje, 34 m²Stan: Innyzakończona28 November 2024 o godzinie 00:05:47499 000,00złZobacz aktualne oferty"
850,"Mieszkanie, Poznań, Naramowice, 43 m²Stan: Innyzakończona28 November 2024 o godzinie 00:05:47475 000,00złZobacz aktualne oferty"
851,"Mieszkanie, Poznań, Nowe Miasto, 46 m²Stan: Innyzakończona28 November 2024 o godzinie 00:05:47564 999,00złZobacz aktualne oferty"
852,"Mieszkanie, Poznań, Jeżyce, 50 m²Stan: Innyzakończona28 November 2024 o godzinie 00:05:47531 865,00złZobacz aktualne oferty"
853,"Mieszkanie, Poznań, Winogrady, 37 m²Stan: Innyzakończona28 November 2024 o godzinie 00:05:47451 200,00złZobacz aktualne oferty"
854,"Mieszkanie, Poznań, Nowe Miasto, 65 m²Stan: Innyzakończona28 November 2024 o godzinie 00:05:44666 401,00złZobacz aktualne oferty"
855,"Mieszkanie, Poznań, Jeżyce, 52 m²Stan: Innyzakończona28 November 2024 o godzinie 00:05:44615 815,00złZobacz aktualne oferty"
856,"Mieszkanie, Poznań, Rataje, 56 m²Stan: Innyzakończona28 November 2024 o godzinie 00:05:40549 000,00złZobacz aktualne oferty"
857,"Mieszkanie, Poznań, Nowe Miasto, 46 m²Stan: Innyzakończona28 November 2024 o godzinie 00:05:34560 000,00złZobacz aktualne oferty"
858,"Dom, Poznań, 110 m²Stan: Innyzakończona28 November 2024 o godzinie 00:04:53990 000,00złZobacz aktualne oferty"
859,"Mieszkanie, Poznań, Górczyn, 51 m²Stan: Innyzakończona27 November 2024 o godzinie 23:46:46810 000,00złZobacz aktualne oferty"
860,"Mieszkanie, Poznań, Winogrady, 77 m²Stan: Innyzakończona27 November 2024 o godzinie 23:38:284100,00złZobacz aktualne oferty"
861,"Mieszkanie, Poznań, Winogrady, 38 m²Stan: Innyzakończona27 November 2024 o godzinie 19:50:57449 000,00złZobacz aktualne oferty"
862,"Mieszkanie, Poznań, Łazarz, 43 m²Stan: Innyzakończona27 November 2024 o godzinie 19:22:26539 279,00złZobacz aktualne oferty"
863,"Biuro, Poznań, 89 m²Stan: Innyzakończona27 November 2024 o godzinie 17:17:25769 000,00złZobacz aktualne oferty"
864,"Mieszkanie, Poznań, 19 m²Stan: Innyzakończona27 November 2024 o godzinie 16:17:01197 245,00złZobacz aktualne oferty"
865,"Mieszkanie, Poznań, Winogrady, 33 m²Stan: Innyzakończona27 November 2024 o godzinie 16:02:16445 000,00złZobacz aktualne oferty"
866,"Mieszkanie, Poznań, Winogrady, 35 m²Stan: Innyzakończona27 November 2024 o godzinie 16:02:16479 000,00złZobacz aktualne oferty"
867,"Mieszkanie, Poznań, Piątkowo, 29 m²Stan: Innyzakończona27 November 2024 o godzinie 16:02:142000,00złZobacz aktualne oferty"
868,"Mieszkanie, Poznań, Jeżyce, 47 m²Stan: Innyzakończona27 November 2024 o godzinie 15:42:05630 000,00złZobacz aktualne oferty"
869,"Mieszkanie, Poznań, Wilda, 62 m²Stan: Innyzakończona27 November 2024 o godzinie 14:58:50920 000,00złZobacz aktualne oferty"
870,"Mieszkanie, Poznań, Jeżyce, 86 m²Stan: Innyzakończona27 November 2024 o godzinie 14:05:48765 000,00złZobacz aktualne oferty"
871,"Mieszkanie, Poznań, Jeżyce, 241 m²Stan: Innyzakończona27 November 2024 o godzinie 13:51:171 490 000,00złZobacz aktualne oferty"
872,"Mieszkanie, Poznań, Rataje, 49 m²Stan: Innyzakończona27 November 2024 o godzinie 13:35:44489 000,00złZobacz aktualne oferty"
873,"Mieszkanie, Poznań, Jeżyce, 91 m²Stan: Innyzakończona27 November 2024 o godzinie 13:20:247500,00złZobacz aktualne oferty"
874,"Mieszkanie, Poznań, Grunwald, 32 m²Stan: Innyzakończona27 November 2024 o godzinie 12:02:49430 000,00złZobacz aktualne oferty"
875,"Mieszkanie, Poznań, 52 m²Stan: Innyzakończona27 November 2024 o godzinie 11:49:36465 000,00złZobacz aktualne oferty"
876,"Magazyny i hale, Poznań, Podolany, 267 m²Stan: Innyzakończona27 November 2024 o godzinie 11:49:345874,00złZobacz aktualne oferty"
877,"Dom, Poznań, 166 m²Stan: Innyzakończona27 November 2024 o godzinie 10:57:42959 000,00złZobacz aktualne oferty"
878,"Mieszkanie, Poznań, Piątkowo, 74 m²Stan: Innyzakończona27 November 2024 o godzinie 09:57:45679 000,00złZobacz aktualne oferty"
879,"Mieszkanie, Poznań, Piątkowo, 68 m²Stan: Innyzakończona27 November 2024 o godzinie 09:27:36895 000,00złZobacz aktualne oferty"
880,"Mieszkanie, Poznań, Winogrady, 44 m²Stan: Innyzakończona27 November 2024 o godzinie 07:25:01547 000,00złZobacz aktualne oferty"
881,"Dom, Poznań, 160 m²Stan: Innyzakończona27 November 2024 o godzinie 02:12:21980 000,00złZobacz aktualne oferty"
882,"Mieszkanie, Poznań, Naramowice, 46 m²Stan: Innyzakończona27 November 2024 o godzinie 02:12:20469 000,00złZobacz aktualne oferty"
883,"Mieszkanie, Poznań, Podolany, 37 m²Stan: Innyzakończona27 November 2024 o godzinie 00:04:35429 600,00złZobacz aktualne oferty"
884,"Mieszkanie, Poznań, Jeżyce, 28 m²Stan: Innyzakończona27 November 2024 o godzinie 00:04:35389 550,00złZobacz aktualne oferty"
885,"Mieszkanie, Poznań, Naramowice, 39 m²Stan: Innyzakończona27 November 2024 o godzinie 00:04:35463 000,00złZobacz aktualne oferty"
886,"Mieszkanie, Poznań, Grunwald, 61 m²Stan: Innyzakończona27 November 2024 o godzinie 00:04:35882 000,00złZobacz aktualne oferty"
887,"Mieszkanie, Poznań, Łazarz, 101 m²Stan: Innyzakończona27 November 2024 o godzinie 00:03:58899 000,00złZobacz aktualne oferty"
888,"Mieszkanie, Poznań, Rataje, 65 m²Stan: Innyzakończona27 November 2024 o godzinie 00:03:57666 401,00złZobacz aktualne oferty"
889,"Mieszkanie, Poznań, Grunwald, 61 m²Stan: Innyzakończona27 November 2024 o godzinie 00:03:57862 000,00złZobacz aktualne oferty"
890,"Mieszkanie, Poznań, Winogrady, 42 m²Stan: Innyzakończona27 November 2024 o godzinie 00:03:57554 800,00złZobacz aktualne oferty"
891,"Mieszkanie, Poznań, Jeżyce, 49 m²Stan: Innyzakończona27 November 2024 o godzinie 00:03:57564 580,00złZobacz aktualne oferty"
892,"Mieszkanie, Poznań, Podolany, 56 m²Stan: Innyzakończona27 November 2024 o godzinie 00:03:57604 546,00złZobacz aktualne oferty"
893,"Mieszkanie, Poznań, Rataje, 45 m²Stan: Innyzakończona27 November 2024 o godzinie 00:03:57561 999,00złZobacz aktualne oferty"
894,"Mieszkanie, Poznań, Rataje, 80 m²Stan: Innyzakończona27 November 2024 o godzinie 00:03:52881 650,00złZobacz aktualne oferty"
895,"Mieszkanie, Poznań, Jeżyce, 37 m²Stan: Innyzakończona27 November 2024 o godzinie 00:03:51481 000,00złZobacz aktualne oferty"
896,"Mieszkanie, Poznań, Stare Miasto, 40 m²Stan: Innyzakończona27 November 2024 o godzinie 00:03:45461 475,00złZobacz aktualne oferty"
897,"Mieszkanie, Poznań, Stare Miasto, 60 m²Stan: Innyzakończona27 November 2024 o godzinie 00:03:45769 300,00złZobacz aktualne oferty"
898,"Mieszkanie, Poznań, Wilda, 22 m²Stan: Innyzakończona27 November 2024 o godzinie 00:03:311900,00złZobacz aktualne oferty"
899,"Mieszkanie, Poznań, Jeżyce, 28 m²Stan: Innyzakończona27 November 2024 o godzinie 00:03:302300,00złZobacz aktualne oferty"
900,"Mieszkanie, Poznań, Łazarz, 119 m²Stan: Innyzakończona27 November 2024 o godzinie 00:03:291 610 000,00złZobacz aktualne oferty"
901,"Mieszkanie, Poznań, 66 m²Stan: Innyzakończona27 November 2024 o godzinie 00:03:23615 000,00złZobacz aktualne oferty"
902,"Mieszkanie, Poznań, Jeżyce, 61 m²Stan: Innyzakończona27 November 2024 o godzinie 00:03:20639 780,00złZobacz aktualne oferty"
903,"Mieszkanie, Poznań, Jeżyce, 52 m²Stan: Innyzakończona26 November 2024 o godzinie 22:26:35515 000,00złZobacz aktualne oferty"
904,"Mieszkanie, Poznań, 39 m²Stan: Innyzakończona26 November 2024 o godzinie 22:01:56567 000,00złZobacz aktualne oferty"
905,"Mieszkanie, Poznań, 39 m²Stan: Innyzakończona26 November 2024 o godzinie 22:01:552300,00złZobacz aktualne oferty"
906,"Mieszkanie, Poznań, Jeżyce, 45 m²Stan: Innyzakończona26 November 2024 o godzinie 21:47:262900,00złZobacz aktualne oferty"
907,"Mieszkanie, Poznań, Grunwald, 35 m²Stan: Innyzakończona26 November 2024 o godzinie 19:12:0362 000,00złZobacz aktualne oferty"
908,"Mieszkanie, Poznań, Dębiec, 38 m²Stan: Innyzakończona26 November 2024 o godzinie 17:58:56360 000,00złZobacz aktualne oferty"
909,"Mieszkanie, Poznań, Stare Miasto, 48 m²Stan: Innyzakończona26 November 2024 o godzinie 17:44:50645 300,00złZobacz aktualne oferty"
910,"Mieszkanie, Poznań, Wilda, 68 m²Stan: Innyzakończona26 November 2024 o godzinie 15:47:27790 000,00złZobacz aktualne oferty"
911,"Mieszkanie, Poznań, Jeżyce, 64 m²Stan: Innyzakończona26 November 2024 o godzinie 15:47:27575 000,00złZobacz aktualne oferty"
912,"Mieszkanie, Poznań, Łazarz, 59 m²Stan: Innyzakończona26 November 2024 o godzinie 15:47:26675 000,00złZobacz aktualne oferty"
913,"Mieszkanie, Poznań, Łazarz, 32 m²Stan: Innyzakończona26 November 2024 o godzinie 15:32:38380 000,00złZobacz aktualne oferty"
914,"Mieszkanie, Poznań, Piątkowo, 45 m²Stan: Innyzakończona26 November 2024 o godzinie 15:02:20565 000,00złZobacz aktualne oferty"
915,"Mieszkanie, Poznań, Wilda, 104 m²Stan: Innyzakończona26 November 2024 o godzinie 14:45:041 479 817,00złZobacz aktualne oferty"
916,"Mieszkanie, Poznań, Wilda, 26 m²Stan: Innyzakończona26 November 2024 o godzinie 14:45:04400 976,00złZobacz aktualne oferty"
917,"Mieszkanie, Poznań, Wilda, 132 m²Stan: Innyzakończona26 November 2024 o godzinie 14:45:041 779 463,00złZobacz aktualne oferty"
918,"Mieszkanie, Poznań, Wilda, 43 m²Stan: Innyzakończona26 November 2024 o godzinie 14:45:04594 968,00złZobacz aktualne oferty"
919,"Mieszkanie, Poznań, Wilda, 46 m²Stan: Innyzakończona26 November 2024 o godzinie 14:45:03665 311,00złZobacz aktualne oferty"
920,"Mieszkanie, Poznań, Wilda, 47 m²Stan: Innyzakończona26 November 2024 o godzinie 14:45:03678 050,00złZobacz aktualne oferty"
921,"Mieszkanie, Poznań, Wilda, 48 m²Stan: Innyzakończona26 November 2024 o godzinie 14:45:02710 816,00złZobacz aktualne oferty"
922,"Mieszkanie, Poznań, Wilda, 64 m²Stan: Innyzakończona26 November 2024 o godzinie 14:45:02946 194,00złZobacz aktualne oferty"
923,"Mieszkanie, Poznań, Wilda, 44 m²Stan: Innyzakończona26 November 2024 o godzinie 14:45:02647 976,00złZobacz aktualne oferty"
924,"Mieszkanie, Poznań, Wilda, 66 m²Stan: Innyzakończona26 November 2024 o godzinie 14:45:02962 379,00złZobacz aktualne oferty"
925,"Mieszkanie, Poznań, Wilda, 53 m²Stan: Innyzakończona26 November 2024 o godzinie 14:45:02748 615,00złZobacz aktualne oferty"
926,"Mieszkanie, Poznań, Wilda, 32 m²Stan: Innyzakończona26 November 2024 o godzinie 14:45:01481 388,00złZobacz aktualne oferty"
927,"Mieszkanie, Poznań, Wilda, 49 m²Stan: Innyzakończona26 November 2024 o godzinie 14:45:01714 670,00złZobacz aktualne oferty"
928,"Mieszkanie, Poznań, Wilda, 66 m²Stan: Innyzakończona26 November 2024 o godzinie 14:45:01955 813,00złZobacz aktualne oferty"
929,"Mieszkanie, Poznań, Wilda, 53 m²Stan: Innyzakończona26 November 2024 o godzinie 14:45:01784 405,00złZobacz aktualne oferty"
930,"Mieszkanie, Poznań, Wilda, 32 m²Stan: Innyzakończona26 November 2024 o godzinie 14:45:00478 200,00złZobacz aktualne oferty"
931,"Mieszkanie, Poznań, Wilda, 80 m²Stan: Innyzakończona26 November 2024 o godzinie 14:45:001 083 913,00złZobacz aktualne oferty"
932,"Mieszkanie, Poznań, Wilda, 49 m²Stan: Innyzakończona26 November 2024 o godzinie 14:45:00726 759,00złZobacz aktualne oferty"
933,"Mieszkanie, Poznań, Wilda, 66 m²Stan: Innyzakończona26 November 2024 o godzinie 14:45:00949 247,00złZobacz aktualne oferty"
934,"Mieszkanie, Poznań, Wilda, 53 m²Stan: Innyzakończona26 November 2024 o godzinie 14:45:00737 979,00złZobacz aktualne oferty"
935,"Mieszkanie, Poznań, Wilda, 32 m²Stan: Innyzakończona26 November 2024 o godzinie 14:44:59483 730,00złZobacz aktualne oferty"
