,Details
43,"Mieszkanie, Poznań, Dębiec, 46 m²Stan: Innyzakończona30 December 2024 o godzinie 09:45:12440 000,00złZobacz aktualne oferty"
44,"Mieszkanie, Poznań, Piątkowo, 52 m²Stan: Innyzakończona30 December 2024 o godzinie 07:23:28646 000,00złZobacz aktualne oferty"
45,"Mieszkanie, Poznań, Winogrady, 48 m²Stan: Innyzakończona29 December 2024 o godzinie 16:56:09575 000,00złZobacz aktualne oferty"
46,"Dom, Poznań, Podolany, 127 m²Stan: Innyzakończona29 December 2024 o godzinie 13:22:101 390 000,00złZobacz aktualne oferty"
47,"Mieszkanie, Poznań, Grunwald, 42 m²Stan: Innyzakończona29 December 2024 o godzinie 12:39:23499 000,00złZobacz aktualne oferty"
48,"Lokal usługowy, Poznań, Jeżyce, 90 m²Stan: Innyzakończona29 December 2024 o godzinie 00:07:362000,00złZobacz aktualne oferty"
49,"Mieszkanie, Poznań, Grunwald, 45 m²Stan: Innyzakończona28 December 2024 o godzinie 18:29:291850,00złZobacz aktualne oferty"
50,"Mieszkanie, Poznań, Jeżyce, 50 m²Stan: Innyzakończona28 December 2024 o godzinie 14:35:562950,00złZobacz aktualne oferty"
51,"Mieszkanie, Poznań, Rataje, 46 m²Stan: Innyzakończona28 December 2024 o godzinie 13:21:02430 000,00złZobacz aktualne oferty"
52,"Mieszkanie, Poznań, 57 m²Stan: Innyzakończona28 December 2024 o godzinie 13:20:552750,00złZobacz aktualne oferty"
53,"Mieszkanie, Poznań, Jeżyce, 66 m²Stan: Innyzakończona28 December 2024 o godzinie 01:26:37999 000,00złZobacz aktualne oferty"
54,"Mieszkanie, Poznań, Naramowice, 69 m²Stan: Innyzakończona27 December 2024 o godzinie 20:37:38599 000,00złZobacz aktualne oferty"
55,"Mieszkanie, Poznań, Jeżyce, 37 m²Stan: Innyzakończona27 December 2024 o godzinie 20:37:36479 000,00złZobacz aktualne oferty"
56,"Mieszkanie, Poznań, Jeżyce, 27 m²Stan: Innyzakończona27 December 2024 o godzinie 19:29:41425 000,00złZobacz aktualne oferty"
57,"Mieszkanie, Poznań, 31 m²Stan: Innyzakończona27 December 2024 o godzinie 18:28:062090,00złZobacz aktualne oferty"
58,"Mieszkanie, Poznań, Grunwald, 47 m²Stan: Innyzakończona27 December 2024 o godzinie 17:59:10629 000,00złZobacz aktualne oferty"
59,"Mieszkanie, Poznań, Jeżyce, 46 m²Stan: Innyzakończona27 December 2024 o godzinie 17:46:022990,00złZobacz aktualne oferty"
60,"Mieszkanie, Poznań, Jeżyce, 54 m²Stan: Innyzakończona27 December 2024 o godzinie 17:45:561800,00złZobacz aktualne oferty"
61,"Mieszkanie, Poznań, Naramowice, 41 m²Stan: Innyzakończona27 December 2024 o godzinie 17:16:42463 058,00złZobacz aktualne oferty"
62,"Mieszkanie, Poznań, Naramowice, 53 m²Stan: Innyzakończona27 December 2024 o godzinie 17:16:41607 610,00złZobacz aktualne oferty"
63,"Mieszkanie, Poznań, Naramowice, 53 m²Stan: Innyzakończona27 December 2024 o godzinie 17:16:39584 024,00złZobacz aktualne oferty"
64,"Mieszkanie, Poznań, Naramowice, 44 m²Stan: Innyzakończona27 December 2024 o godzinie 17:16:38521 515,00złZobacz aktualne oferty"
65,"Mieszkanie, Poznań, Naramowice, 39 m²Stan: Innyzakończona27 December 2024 o godzinie 17:16:37482 742,00złZobacz aktualne oferty"
66,"Mieszkanie, Poznań, Naramowice, 33 m²Stan: Innyzakończona27 December 2024 o godzinie 17:16:35416 133,00złZobacz aktualne oferty"
67,"Mieszkanie, Poznań, Naramowice, 41 m²Stan: Innyzakończona27 December 2024 o godzinie 17:16:34456 200,00złZobacz aktualne oferty"
68,"Mieszkanie, Poznań, Naramowice, 39 m²Stan: Innyzakończona27 December 2024 o godzinie 17:16:32444 120,00złZobacz aktualne oferty"
69,"Mieszkanie, Poznań, Rataje, 56 m²Stan: Innyzakończona27 December 2024 o godzinie 17:16:31543 521,00złZobacz aktualne oferty"
70,"Mieszkanie, Poznań, Rataje, 55 m²Stan: Innyzakończona27 December 2024 o godzinie 17:16:29529 566,00złZobacz aktualne oferty"
71,"Mieszkanie, Poznań, Rataje, 52 m²Stan: Innyzakończona27 December 2024 o godzinie 17:16:27496 258,00złZobacz aktualne oferty"
72,"Mieszkanie, Poznań, Rataje, 44 m²Stan: Innyzakończona27 December 2024 o godzinie 17:16:25450 370,00złZobacz aktualne oferty"
73,"Mieszkanie, Poznań, Rataje, 43 m²Stan: Innyzakończona27 December 2024 o godzinie 17:16:23437 800,00złZobacz aktualne oferty"
74,"Mieszkanie, Poznań, Rataje, 42 m²Stan: Innyzakończona27 December 2024 o godzinie 17:16:21432 278,00złZobacz aktualne oferty"
75,"Mieszkanie, Poznań, Rataje, 42 m²Stan: Innyzakończona27 December 2024 o godzinie 17:16:20428 410,00złZobacz aktualne oferty"
76,"Mieszkanie, Poznań, Rataje, 39 m²Stan: Innyzakończona27 December 2024 o godzinie 17:16:18415 996,00złZobacz aktualne oferty"
77,"Mieszkanie, Poznań, Łazarz, 50 m²Stan: Innyzakończona27 December 2024 o godzinie 17:15:482150,00złZobacz aktualne oferty"
78,"Mieszkanie, Poznań, Winogrady, 25 m²Stan: Innyzakończona27 December 2024 o godzinie 17:00:40352 670,00złZobacz aktualne oferty"
79,"Magazyny i hale, Poznań, Górczyn, 190 m²Stan: Innyzakończona27 December 2024 o godzinie 16:33:057600,00złZobacz aktualne oferty"
80,"Magazyny i hale, Poznań, 194 m²Stan: Innyzakończona27 December 2024 o godzinie 16:33:034950,00złZobacz aktualne oferty"
81,"Działka, Poznań, 240000 m²Stan: Innyzakończona27 December 2024 o godzinie 16:33:0048 000 000,00złZobacz aktualne oferty"
82,"Mieszkanie, Poznań, Winogrady, 26 m²Stan: Innyzakończona27 December 2024 o godzinie 15:41:57348 140,00złZobacz aktualne oferty"
83,"Mieszkanie, Poznań, Piątkowo, 31 m²Stan: Innyzakończona27 December 2024 o godzinie 15:41:39420 000,00złZobacz aktualne oferty"
84,"Mieszkanie, Poznań, 20 m²Stan: Innyzakończona27 December 2024 o godzinie 15:26:331800,00złZobacz aktualne oferty"
85,"Mieszkanie, Poznań, Grunwald, 89 m²Stan: Innyzakończona27 December 2024 o godzinie 15:10:281 315 000,00złZobacz aktualne oferty"
86,"Mieszkanie, Poznań, 60 m²Stan: Innyzakończona27 December 2024 o godzinie 14:55:18999 999,00złZobacz aktualne oferty"
87,"Mieszkanie, Poznań, Podolany, 32 m²Stan: Innyzakończona27 December 2024 o godzinie 14:45:412299,00złZobacz aktualne oferty"
88,"Mieszkanie, Poznań, 65 m²Stan: Innyzakończona27 December 2024 o godzinie 14:19:21670 000,00złZobacz aktualne oferty"
89,"Mieszkanie, Poznań, Grunwald, 15 m²Stan: Innyzakończona27 December 2024 o godzinie 13:48:121300,00złZobacz aktualne oferty"
90,"Mieszkanie, Poznań, Stare Miasto, 51 m²Stan: Innyzakończona27 December 2024 o godzinie 11:42:58485 000,00złZobacz aktualne oferty"
91,"Mieszkanie, Poznań, Piątkowo, 61 m²Stan: Innyzakończona27 December 2024 o godzinie 11:42:57704 950,00złZobacz aktualne oferty"
92,"Mieszkanie, Poznań, 63 m²Stan: Innyzakończona26 December 2024 o godzinie 23:18:00549 000,00złZobacz aktualne oferty"
93,"Dom, Poznań, 240 m²Stan: Innyzakończona26 December 2024 o godzinie 23:17:561 890 000,00złZobacz aktualne oferty"
94,"Działka, Poznań, Fabianowo-Kotowo, 2000 m²Stan: Innyzakończona26 December 2024 o godzinie 22:09:515000,00złZobacz aktualne oferty"
95,"Mieszkanie, Poznań, Winogrady, 91 m²Stan: Innyzakończona26 December 2024 o godzinie 20:18:53780 000,00złZobacz aktualne oferty"
96,"Dom, Poznań, Podolany, 107 m²Stan: Innyzakończona26 December 2024 o godzinie 20:18:41889 000,00złZobacz aktualne oferty"
97,"Dom, Poznań, Winogrady, 86 m²Stan: Innyzakończona26 December 2024 o godzinie 20:18:41779 000,00złZobacz aktualne oferty"
98,"Mieszkanie, Poznań, Podolany, 86 m²Stan: Innyzakończona26 December 2024 o godzinie 20:18:40779 000,00złZobacz aktualne oferty"
99,"Mieszkanie, Poznań, Wilda, 32 m²Stan: Innyzakończona24 December 2024 o godzinie 15:35:06415 000,00złZobacz aktualne oferty"
100,"Pokój, Poznań, Winogrady, 9 m²Stan: Innyzakończona24 December 2024 o godzinie 12:39:05700,00złZobacz aktualne oferty"
101,"Dom, Poznań, Podolany, 92 m²Stan: Innyzakończona24 December 2024 o godzinie 12:06:30899 000,00złZobacz aktualne oferty"
102,"Mieszkanie, Poznań, Wilda, 51 m²Stan: Innyzakończona24 December 2024 o godzinie 01:50:23599 000,00złZobacz aktualne oferty"
103,"Mieszkanie, Poznań, Piątkowo, 31 m²Stan: Innyzakończona24 December 2024 o godzinie 01:50:21325 000,00złZobacz aktualne oferty"
104,"Mieszkanie, Poznań, Wilda, 61 m²Stan: Innyzakończona24 December 2024 o godzinie 01:50:20779 000,00złZobacz aktualne oferty"
105,"Mieszkanie, Poznań, Naramowice, 53 m²Stan: Innyzakończona24 December 2024 o godzinie 00:04:07559 900,00złZobacz aktualne oferty"
106,"Mieszkanie, Poznań, Jeżyce, 39 m²Stan: Innyzakończona24 December 2024 o godzinie 00:04:05508 395,00złZobacz aktualne oferty"
107,"Mieszkanie, Poznań, Junikowo, 58 m²Stan: Innyzakończona24 December 2024 o godzinie 00:04:04849 000,00złZobacz aktualne oferty"
108,"Mieszkanie, Poznań, 61 m²Stan: Innyzakończona23 December 2024 o godzinie 23:38:31775 000,00złZobacz aktualne oferty"
109,"Mieszkanie, Poznań, Wilda, 46 m²Stan: Innyzakończona23 December 2024 o godzinie 18:49:13425 000,00złZobacz aktualne oferty"
110,"Mieszkanie, Poznań, Łazarz, 69 m²Stan: Innyzakończona23 December 2024 o godzinie 16:35:33748 394,00złZobacz aktualne oferty"
111,"Mieszkanie, Poznań, 22 m²Stan: Innyzakończona23 December 2024 o godzinie 14:44:061300,00złZobacz aktualne oferty"
112,"Mieszkanie, Poznań, Piątkowo, 53 m²Stan: Innyzakończona23 December 2024 o godzinie 14:43:55499 000,00złZobacz aktualne oferty"
113,"Mieszkanie, Poznań, Łazarz, 47 m²Stan: Innyzakończona23 December 2024 o godzinie 14:26:202300,00złZobacz aktualne oferty"
114,"Działka, Poznań, 1446 m²Stan: Innyzakończona23 December 2024 o godzinie 14:25:411 900 000,00złZobacz aktualne oferty"
115,"Mieszkanie, Poznań, 74 m²Stan: Innyzakończona23 December 2024 o godzinie 13:54:02669 900,00złZobacz aktualne oferty"
116,"Komercyjne, Poznań, Winiary, 55 m²Stan: Innyzakończona23 December 2024 o godzinie 13:53:313200,00złZobacz aktualne oferty"
117,"Mieszkanie, Poznań, Podolany, 67 m²Stan: Innyzakończona23 December 2024 o godzinie 12:54:02738 858,00złZobacz aktualne oferty"
118,"Mieszkanie, Poznań, Podolany, 56 m²Stan: Innyzakończona23 December 2024 o godzinie 12:54:00612 143,00złZobacz aktualne oferty"
119,"Mieszkanie, Poznań, Podolany, 37 m²Stan: Innyzakończona23 December 2024 o godzinie 12:53:58475 824,00złZobacz aktualne oferty"
120,"Mieszkanie, Poznań, Stare Miasto, 65 m²Stan: Innyzakończona23 December 2024 o godzinie 12:08:09560 000,00złZobacz aktualne oferty"
121,"Mieszkanie, Poznań, Stare Miasto, 31 m²Stan: Innyzakończona23 December 2024 o godzinie 12:07:34529 000,00złZobacz aktualne oferty"
122,"Biuro, Poznań, 90 m²Stan: Innyzakończona23 December 2024 o godzinie 12:07:333499,00złZobacz aktualne oferty"
123,"Mieszkanie, Poznań, Wilda, 55 m²Stan: Innyzakończona23 December 2024 o godzinie 12:07:312850,00złZobacz aktualne oferty"
124,"Działka, Poznań, Żegrze, 12500 m²Stan: Innyzakończona23 December 2024 o godzinie 11:52:464 990 000,00złZobacz aktualne oferty"
125,"Mieszkanie, Poznań, Nowe Miasto, 51 m²Stan: Innyzakończona23 December 2024 o godzinie 10:56:56625 000,00złZobacz aktualne oferty"
126,"Magazyny i hale, Poznań, Jeżyce, 7312 m²Stan: Innyzakończona23 December 2024 o godzinie 08:25:18124 304,00złZobacz aktualne oferty"
127,"Mieszkanie, Poznań, Piątkowo, 94 m²Stan: Innyzakończona23 December 2024 o godzinie 00:30:12893 500,00złZobacz aktualne oferty"
128,"Mieszkanie, Poznań, Wilda, 96 m²Stan: Innyzakończona22 December 2024 o godzinie 22:32:431 199 000,00złZobacz aktualne oferty"
129,"Mieszkanie, Poznań, Podolany, 40 m²Stan: Innyzakończona22 December 2024 o godzinie 22:32:40499 000,00złZobacz aktualne oferty"
130,"Mieszkanie, Poznań, Jeżyce, 68 m²Stan: Innyzakończona22 December 2024 o godzinie 20:27:07897 000,00złZobacz aktualne oferty"
131,"Mieszkanie, Poznań, Jeżyce, 35 m²Stan: Innyzakończona22 December 2024 o godzinie 18:09:49491 504,00złZobacz aktualne oferty"
132,"Mieszkanie, Poznań, Górczyn, 54 m²Stan: Innyzakończona22 December 2024 o godzinie 18:09:44425 000,00złZobacz aktualne oferty"
133,"Mieszkanie, Poznań, 40 m²Stan: Innyzakończona22 December 2024 o godzinie 11:36:22484 528,00złZobacz aktualne oferty"
134,"Magazyny i hale, Poznań, Górczyn, 285 m²Stan: Innyzakończona22 December 2024 o godzinie 10:10:282 500 000,00złZobacz aktualne oferty"
135,"Mieszkanie, Poznań, Dębiec, 32 m²Stan: Innyzakończona22 December 2024 o godzinie 07:43:362300,00złZobacz aktualne oferty"
136,"Dom, Poznań, 131 m²Stan: Innyzakończona22 December 2024 o godzinie 00:34:191 099 999,00złZobacz aktualne oferty"
137,"Mieszkanie, Poznań, Rataje, 49 m²Stan: Innyzakończona22 December 2024 o godzinie 00:06:41459 000,00złZobacz aktualne oferty"
138,"Mieszkanie, Poznań, Jeżyce, 18 m²Stan: Innyzakończona21 December 2024 o godzinie 23:08:35329 000,00złZobacz aktualne oferty"
139,"Mieszkanie, Poznań, 76 m²Stan: Innyzakończona21 December 2024 o godzinie 22:39:31850 000,00złZobacz aktualne oferty"
140,"Magazyny i hale, Poznań, 200 m²Stan: Innyzakończona21 December 2024 o godzinie 21:43:523500,00złZobacz aktualne oferty"
141,"Magazyny i hale, Poznań, 5000 m²Stan: Innyzakończona21 December 2024 o godzinie 17:16:4596 075,00złZobacz aktualne oferty"
142,"Mieszkanie, Poznań, 36 m²Stan: Innyzakończona21 December 2024 o godzinie 16:25:34484 696,00złZobacz aktualne oferty"
143,"Mieszkanie, Poznań, 36 m²Stan: Innyzakończona21 December 2024 o godzinie 16:25:32452 638,00złZobacz aktualne oferty"
144,"Mieszkanie, Poznań, 29 m²Stan: Innyzakończona21 December 2024 o godzinie 16:25:30372 293,00złZobacz aktualne oferty"
145,"Mieszkanie, Poznań, 56 m²Stan: Innyzakończona21 December 2024 o godzinie 16:25:28599 799,00złZobacz aktualne oferty"
146,"Mieszkanie, Poznań, 55 m²Stan: Innyzakończona21 December 2024 o godzinie 16:25:26559 793,00złZobacz aktualne oferty"
147,"Mieszkanie, Poznań, Jeżyce, 39 m²Stan: Innyzakończona21 December 2024 o godzinie 15:56:47508 390,00złZobacz aktualne oferty"
148,"Dom, Poznań, Umultowo, 267 m²Stan: Innyzakończona21 December 2024 o godzinie 15:42:041 700 000,00złZobacz aktualne oferty"
149,"Działka, Poznań, Morasko-Radojewo, 2036 m²Stan: Innyzakończona21 December 2024 o godzinie 15:13:40812 364,00złZobacz aktualne oferty"
150,"Mieszkanie, Poznań, Strzeszyn, 58 m²Stan: Innyzakończona21 December 2024 o godzinie 13:31:55720 000,00złZobacz aktualne oferty"
151,"Mieszkanie, Poznań, Piątkowo, 74 m²Stan: Innyzakończona21 December 2024 o godzinie 13:31:501 339 000,00złZobacz aktualne oferty"
152,"Mieszkanie, Poznań, Naramowice, 41 m²Stan: Innyzakończona21 December 2024 o godzinie 13:04:35469 072,00złZobacz aktualne oferty"
153,"Mieszkanie, Poznań, Naramowice, 39 m²Stan: Innyzakończona21 December 2024 o godzinie 13:04:33449 888,00złZobacz aktualne oferty"
154,"Mieszkanie, Poznań, Naramowice, 39 m²Stan: Innyzakończona21 December 2024 o godzinie 13:04:23489 011,00złZobacz aktualne oferty"
155,"Mieszkanie, Poznań, Naramowice, 44 m²Stan: Innyzakończona21 December 2024 o godzinie 13:04:13528 288,00złZobacz aktualne oferty"
156,"Mieszkanie, Poznań, Naramowice, 41 m²Stan: Innyzakończona21 December 2024 o godzinie 13:04:11462 125,00złZobacz aktualne oferty"
157,"Mieszkanie, Poznań, Naramowice, 33 m²Stan: Innyzakończona21 December 2024 o godzinie 13:04:10421 537,00złZobacz aktualne oferty"
158,"Mieszkanie, Poznań, Naramowice, 53 m²Stan: Innyzakończona21 December 2024 o godzinie 13:04:06591 609,00złZobacz aktualne oferty"
159,"Mieszkanie, Poznań, Naramowice, 53 m²Stan: Innyzakończona21 December 2024 o godzinie 13:04:03615 502,00złZobacz aktualne oferty"
160,"Dom, Poznań, 132 m²Stan: Innyzakończona21 December 2024 o godzinie 07:42:141 080 000,00złZobacz aktualne oferty"
161,"Mieszkanie, Poznań, Nowe Miasto, 38 m²Stan: Innyzakończona21 December 2024 o godzinie 00:03:492600,00złZobacz aktualne oferty"
162,"Działka, Poznań, Sołacz, 514 m²Stan: Innyzakończona21 December 2024 o godzinie 00:03:49668 000,00złZobacz aktualne oferty"
163,"Mieszkanie, Poznań, Naramowice, 39 m²Stan: Innyzakończona20 December 2024 o godzinie 23:51:28456 000,00złZobacz aktualne oferty"
164,"Mieszkanie, Poznań, Nowe Miasto, 74 m²Stan: Innyzakończona20 December 2024 o godzinie 23:51:26732 000,00złZobacz aktualne oferty"
165,"Mieszkanie, Poznań, Winogrady, 49 m²Stan: Innyzakończona20 December 2024 o godzinie 23:51:23563 000,00złZobacz aktualne oferty"
166,"Mieszkanie, Poznań, Podolany, 40 m²Stan: Innyzakończona20 December 2024 o godzinie 23:51:20430 703,00złZobacz aktualne oferty"
167,"Mieszkanie, Poznań, Nowe Miasto, 39 m²Stan: Innyzakończona20 December 2024 o godzinie 23:51:20439 000,00złZobacz aktualne oferty"
168,"Mieszkanie, Poznań, Główna, 25 m²Stan: Innyzakończona20 December 2024 o godzinie 23:51:18287 287,00złZobacz aktualne oferty"
169,"Mieszkanie, Poznań, Podolany, 59 m²Stan: Innyzakończona20 December 2024 o godzinie 23:37:25590 000,00złZobacz aktualne oferty"
170,"Mieszkanie, Poznań, 54 m²Stan: Innyzakończona20 December 2024 o godzinie 23:37:07556 000,00złZobacz aktualne oferty"
171,"Mieszkanie, Poznań, 42 m²Stan: Innyzakończona20 December 2024 o godzinie 23:36:55478 000,00złZobacz aktualne oferty"
172,"Mieszkanie, Poznań, Jeżyce, 61 m²Stan: Innyzakończona20 December 2024 o godzinie 23:36:48689 000,00złZobacz aktualne oferty"
173,"Mieszkanie, Poznań, Jeżyce, 36 m²Stan: Innyzakończona20 December 2024 o godzinie 23:36:46454 000,00złZobacz aktualne oferty"
174,"Dom, Poznań, Podolany, 127 m²Stan: Innyzakończona20 December 2024 o godzinie 22:28:371 290 000,00złZobacz aktualne oferty"
175,"Działka, Poznań, Ławica, 299 m²Stan: Innyzakończona20 December 2024 o godzinie 19:53:2558 900,00złZobacz aktualne oferty"
176,"Mieszkanie, Poznań, Naramowice, 43 m²Stan: Innyzakończona20 December 2024 o godzinie 17:55:38550 000,00złZobacz aktualne oferty"
177,"Mieszkanie, Poznań, Winogrady, 53 m²Stan: Innyzakończona20 December 2024 o godzinie 17:39:59537 000,00złZobacz aktualne oferty"
178,"Mieszkanie, Poznań, Grunwald, 85 m²Stan: Innyzakończona20 December 2024 o godzinie 16:56:541 159 000,00złZobacz aktualne oferty"
